,Author,Date,Message
76,Other,"Apr 18, 2020, 10:02 PM","Contented with report, hear only in Heaven: "
77,Other,"Apr 18, 2020, 10:02 PM",Hers in all real dignity?  Adorned 
78,Other,"Apr 18, 2020, 10:01 PM",Their ruin! hence I will excite their minds 
79,Other,"Apr 18, 2020, 10:00 PM",  So Satan spake; and him Beelzebub 
80,Other,"Apr 18, 2020, 9:59 PM","So pondering, and from his armed peers "
81,Other,"Apr 18, 2020, 9:59 PM",Prosperous or adverse: so shalt thou lead 
82,Other,"Apr 18, 2020, 9:59 PM","Reason in man obscured, or not obeyed, "
83,William Shakespeare,"Apr 18, 2020, 4:12 PM","Or hollowed bodies made of oak or fir, "
84,William Shakespeare,"Apr 18, 2020, 4:53 AM","Nor will occasion want, nor shall we need "
85,William Shakespeare,"Apr 18, 2020, 4:53 AM",Where now he sits at the right hand of bliss. 
86,Mickey Mouse,"Apr 18, 2020, 4:44 AM",(And pure thou wert created) we enjoy 
87,Donald Duck,"Apr 18, 2020, 4:39 AM","A crew who, under names of old renown-- "
88,William Shakespeare,"Apr 18, 2020, 4:39 AM",'Till Israel overcome! so call the third 
89,Donald Duck,"Apr 18, 2020, 4:38 AM","And know not that I called, and drew them thither, "
90,Mickey Mouse,"Apr 18, 2020, 4:38 AM",Above the rest still to retain; they all 
91,Mickey Mouse,"Apr 18, 2020, 4:38 AM","On his great expedition now appeared, "
92,Donald Duck,"Apr 18, 2020, 4:36 AM","For Understanding ruled not, and the Will "
93,Donald Duck,"Apr 18, 2020, 4:36 AM",Or down from Heaven descend.--Such was their song; 
94,Mickey Mouse,"Apr 18, 2020, 4:25 AM","Love's harbinger, appeared; then, all in heat "
95,Mickey Mouse,"Apr 18, 2020, 4:25 AM","Fled not in silence through the frighted Deep, "
96,Donald Duck,"Apr 18, 2020, 4:24 AM",Fell with us from on high. From them I go 
97,Other,"Apr 18, 2020, 4:23 AM","  He ceased; and next him Moloch, sceptred king, "
98,Mickey Mouse,"Apr 18, 2020, 4:23 AM","Evil to others, and enraged might see "
99,William Shakespeare,"Apr 10, 2020, 1:39 AM",Or dim suffusion veil'd.  Yet not the more 
100,Mickey Mouse,"Apr 10, 2020, 1:37 AM","Bone of my bone, flesh of my flesh, myself "
101,Other,"Apr 10, 2020, 1:14 AM","No wonder, fallen such a pernicious height!"" "
102,Other,"Apr 10, 2020, 1:13 AM",Lived ignorant of future! so had borne 
103,Other,"Apr 10, 2020, 1:13 AM",New troubles; him thy care must be to find. 
104,Donald Duck,"Apr 10, 2020, 12:58 AM","Nature herself, though pure of sinful thought, "
105,Donald Duck,"Apr 10, 2020, 12:58 AM","When he who rules is worthiest, and excels "
106,Mickey Mouse,"Apr 10, 2020, 12:57 AM","How such united force of gods, how such "
107,Donald Duck,"Apr 10, 2020, 12:57 AM","Henceforth; my dwelling haply may not please, "
108,Mickey Mouse,"Apr 10, 2020, 12:54 AM","Unalterably firm his love entire, "
109,Other,"Apr 8, 2020, 8:54 PM",From all his alimental recompence 
110,Other,"Apr 8, 2020, 8:53 PM","Delightfully, Encrease and multiply; "
111,Mickey Mouse,"Apr 8, 2020, 8:53 PM",But hiss for hiss returned with forked tongue 
112,Mickey Mouse,"Apr 8, 2020, 8:53 PM","To me alike, it deals eternal woe. "
113,Other,"Apr 8, 2020, 8:53 PM","Unspeakable; for who, though with the tongue "
114,Mickey Mouse,"Apr 8, 2020, 8:53 PM","Forth issued, brandishing his fatal dart, "
115,William Shakespeare,"Apr 8, 2020, 8:53 PM",Assures me that the bitterness of death 
116,Donald Duck,"Apr 8, 2020, 8:52 PM",Your fill what happiness this happy state 
117,Donald Duck,"Apr 8, 2020, 8:52 PM","For I no sooner in my heart divined, "
118,Donald Duck,"Apr 8, 2020, 8:52 PM","To him who reigns, and so much to him due "
119,Other,"Apr 8, 2020, 8:52 PM","Moors by his side under the lee, while night "
120,Mickey Mouse,"Apr 8, 2020, 8:51 PM","In a dark age, against example good, "
121,Other,"Apr 8, 2020, 8:51 PM","  ""My sentence is for open war. Of wiles, "
122,Mickey Mouse,"Apr 8, 2020, 8:51 PM","Uplifted, spurns the ground; thence many a league, "
123,Mickey Mouse,"Apr 8, 2020, 8:51 PM","Say, Woman, what is this which thou hast done? "
124,Other,"Apr 8, 2020, 8:50 PM","Of human sense, I shall delineate so, "
125,Other,"Apr 8, 2020, 8:50 PM","O Teacher, some great mischief hath befallen "
126,Other,"Apr 8, 2020, 8:50 PM",So dearly to redeem what hellish hate 
127,William Shakespeare,"Apr 8, 2020, 8:49 PM",Of Heaven and Earth conspicuous first began; 
128,William Shakespeare,"Apr 8, 2020, 8:49 PM","In Paradise to Adam or his race, "
129,Mickey Mouse,"Apr 8, 2020, 8:49 PM","Interpreted,) which not long after, he "
130,Other,"Apr 8, 2020, 8:48 PM",Birth-day of Heaven and Earth; with joy and shout 
131,Other,"Apr 8, 2020, 8:48 PM",To give us only good; and if the night 
132,Other,"Apr 8, 2020, 8:47 PM","Thou therefore on these herbs, and fruits, and flowers, "
133,Mickey Mouse,"Apr 7, 2020, 1:40 AM",Not this rock only; his Omnipresence fills 
134,William Shakespeare,"Apr 7, 2020, 1:10 AM","Those thousand decencies, that daily flow "
135,William Shakespeare,"Apr 7, 2020, 1:10 AM","Betwixt Astrea and the Scorpion sign, "
136,Donald Duck,"Apr 7, 2020, 1:08 AM","And, as I wondering looked, beside it stood "
137,William Shakespeare,"Apr 7, 2020, 1:02 AM","Who first broke peace in Heaven and faith, till then "
138,Mickey Mouse,"Apr 7, 2020, 12:59 AM","Draws in, and at his trunk spouts out, a sea. "
139,Mickey Mouse,"Apr 7, 2020, 12:58 AM","By false presumptuous hope, the ranged Powers "
140,William Shakespeare,"Apr 7, 2020, 12:58 AM","A Spirit, zealous, as he seemed, to know "
141,Mickey Mouse,"Apr 7, 2020, 12:57 AM","More of the Almighty's works, and chiefly Man, "
142,William Shakespeare,"Apr 5, 2020, 9:11 PM","The grand-child, with twelve sons encreased, departs "
143,William Shakespeare,"Apr 5, 2020, 9:11 PM","O Adam, One Almighty is, from whom "
144,Mickey Mouse,"Apr 5, 2020, 2:51 AM","More lovely, than Pandora, whom the Gods "
145,William Shakespeare,"Apr 5, 2020, 2:33 AM",This answer from the gracious Voice Divine. 
146,Donald Duck,"Apr 5, 2020, 1:59 AM","False fugitive; and to thy speed add wings, "
147,Other,"Apr 5, 2020, 1:03 AM","Crested aloft, and carbuncle his eyes; "
148,William Shakespeare,"Apr 5, 2020, 12:59 AM","Uncovered more.  So rose the Danite strong, "
149,William Shakespeare,"Apr 5, 2020, 12:59 AM",Stored in each orb perhaps with some that live. 
150,William Shakespeare,"Apr 5, 2020, 12:58 AM","His final remedy; and, after life, "
151,Other,"Apr 5, 2020, 12:58 AM","When thou, attended gloriously from Heaven, "
152,Mickey Mouse,"Apr 5, 2020, 12:58 AM","His constant lamp, and waves his purple wings, "
153,William Shakespeare,"Apr 5, 2020, 12:57 AM",His mighty stature; on each hand the flames 
154,Donald Duck,"Apr 5, 2020, 12:57 AM",Till even; nor then the solemn nightingale 
155,Mickey Mouse,"Apr 5, 2020, 12:56 AM","To illuminate the Earth, and rule the day "
156,Donald Duck,"Apr 5, 2020, 12:56 AM","Imports not, if thou reckon right; the rest "
157,Donald Duck,"Apr 5, 2020, 12:56 AM","Hell and the gulf between, and Satan there  "
158,Donald Duck,"Apr 5, 2020, 12:56 AM",Streaking the ground with sinuous trace; not all 
159,William Shakespeare,"Apr 5, 2020, 12:56 AM",Or whom he wishes most shall seldom gain 
160,William Shakespeare,"Apr 5, 2020, 12:56 AM","Again the Almighty spake, Let there be lights "
161,Donald Duck,"Apr 5, 2020, 12:52 AM","Risen from a river o'er the marish glides, "
162,Mickey Mouse,"Apr 5, 2020, 12:51 AM","Over mount Sion, and, though that were large, "
163,Donald Duck,"Apr 5, 2020, 12:49 AM","Our stronger, some worse way his wrath may find "
164,Other,"Apr 4, 2020, 8:43 PM","Where all life dies, death lives, and Nature breeds, "
165,Mickey Mouse,"Apr 4, 2020, 6:54 PM","Of great Seleucia, built by Grecian kings, "
166,Donald Duck,"Apr 4, 2020, 6:40 PM",Decrepit winter; from the south to bring 
167,Donald Duck,"Apr 4, 2020, 6:39 PM","His presence from among them, and avert "
168,Mickey Mouse,"Apr 4, 2020, 6:39 PM","Or all at once; more glory will be won, "
169,Donald Duck,"Apr 4, 2020, 6:38 PM","Livelier than Meliboean, or the grain "
170,Donald Duck,"Apr 4, 2020, 6:38 PM","To final battle drew, disdaining flight, "
171,Mickey Mouse,"Apr 4, 2020, 6:38 PM","In narrow circuit straitened by a foe, "
172,Mickey Mouse,"Apr 4, 2020, 6:37 PM","Above mankind, or aught than mankind higher, "
173,Donald Duck,"Apr 4, 2020, 6:37 PM",As far as Gods and heavenly Essences 
174,William Shakespeare,"Apr 4, 2020, 6:37 PM","He sought them both, but wished his hap might find "
175,Donald Duck,"Apr 4, 2020, 6:37 PM",To whom the great Creator thus replied. 
176,William Shakespeare,"Apr 4, 2020, 6:37 PM","The Apocalypse, heard cry in Heaven aloud, "
177,Donald Duck,"Apr 4, 2020, 6:33 PM","Bear with me then, if lawful what I ask: "
178,Donald Duck,"Apr 4, 2020, 6:33 PM",What feigned submission swore?  Ease would recant 
179,Donald Duck,"Apr 4, 2020, 6:33 PM","More Angels to create, if they at least "
180,William Shakespeare,"Apr 4, 2020, 4:13 PM","As from unrest; and, each the other viewing, "
181,Mickey Mouse,"Apr 4, 2020, 4:12 PM","Reflecting blaze on blaze, first met his view: "
182,Other,"Apr 4, 2020, 9:12 AM",The dismal situation waste and wild. 
183,Other,"Apr 4, 2020, 9:11 AM","Confess him rightful King? unjust, thou sayest, "
184,Other,"Apr 4, 2020, 9:11 AM","His Word, the Filial Godhead, gave effect. "
185,William Shakespeare,"Apr 4, 2020, 4:13 AM","Dandled the kid; bears, tigers, ounces, pards, "
186,Other,"Apr 4, 2020, 4:12 AM","To beasts; whom God, on their creation-day, "
187,Donald Duck,"Apr 4, 2020, 2:55 AM","The thickest trees, both man and wife; till God, "
188,Donald Duck,"Apr 4, 2020, 2:52 AM",Man hath his daily work of body or mind 
189,Donald Duck,"Apr 4, 2020, 2:52 AM","Dreadful combustion warring, and disturb, "
190,William Shakespeare,"Apr 4, 2020, 2:46 AM",War unproclaimed.  The princely Hierarch 
191,Mickey Mouse,"Apr 4, 2020, 2:46 AM",Which he had plucked; the pleasant savoury smell 
192,Donald Duck,"Apr 4, 2020, 2:46 AM","How camest thou speakable of mute, and how "
193,Donald Duck,"Apr 4, 2020, 2:46 AM", 
194,Mickey Mouse,"Apr 4, 2020, 2:45 AM","Dwell, not unvisited of Heaven's fair light, "
195,Mickey Mouse,"Apr 4, 2020, 2:45 AM",Food for so foul a monster; in thy power 
196,Mickey Mouse,"Apr 4, 2020, 2:45 AM",And seconded thy else not dreaded spear. 
197,Donald Duck,"Apr 4, 2020, 2:45 AM","Is oftest yours, the latter most is ours, "
198,Donald Duck,"Apr 4, 2020, 2:45 AM","From Egypt marching, equalled with one stroke "
199,William Shakespeare,"Apr 4, 2020, 2:44 AM","Perpetual fountain of domestick sweets, "
200,William Shakespeare,"Apr 4, 2020, 2:43 AM","Which we, in our appointed work employed, "
201,William Shakespeare,"Apr 4, 2020, 2:43 AM","Dark with excessive bright thy skirts appear, "
202,Mickey Mouse,"Apr 4, 2020, 2:42 AM",Attendant on their Lord:  Heaven opened wide 
203,Donald Duck,"Apr 4, 2020, 2:42 AM","Shine not in vain; nor think, though men were none, "
204,Mickey Mouse,"Apr 4, 2020, 2:42 AM","Fled ignominious, to such evil brought "
205,Donald Duck,"Apr 4, 2020, 2:39 AM","Dishevelled, but in wanton ringlets waved "
206,Donald Duck,"Apr 4, 2020, 2:39 AM","Lodge and dislodge by turns, which makes through Heaven "
207,Other,"Apr 4, 2020, 2:30 AM","Upon the rapid current, which, through veins "
208,William Shakespeare,"Apr 4, 2020, 2:27 AM","Founded in reason, loyal, just, and pure, "
209,Mickey Mouse,"Apr 4, 2020, 2:23 AM","Considered all things visible in Heaven, "
210,Other,"Apr 4, 2020, 2:23 AM",He ended; and thus Adam last replied. 
211,Other,"Apr 4, 2020, 2:23 AM","Sevenfold, and scourge that wisdom back to Hell, "
212,William Shakespeare,"Apr 4, 2020, 2:22 AM","Unculled, as came to hand; a shepherd next, "
213,William Shakespeare,"Apr 4, 2020, 2:22 AM","And surging waves, as mountains, to assault "
214,Mickey Mouse,"Apr 4, 2020, 2:18 AM","Under inhuman pains?  Why should not Man, "
215,Other,"Apr 4, 2020, 2:18 AM","Appeared, with gay enamelled colours mixed: "
216,William Shakespeare,"Apr 4, 2020, 2:17 AM",  Forthwith upright he rears from off the pool 
217,Other,"Apr 4, 2020, 2:16 AM","Yet dreadful in mine ear, though in my choice "
218,William Shakespeare,"Apr 4, 2020, 2:13 AM","Undaunted, to meet there whatever Power "
219,Mickey Mouse,"Apr 4, 2020, 12:09 AM",Approaching two and two; these cowering low 
220,Donald Duck,"Apr 4, 2020, 12:09 AM", 
221,William Shakespeare,"Apr 4, 2020, 12:09 AM",Behold a wonder! They but now who seemed 
222,Mickey Mouse,"Apr 4, 2020, 12:09 AM",Canaan he now attains; I see his tents 
223,Mickey Mouse,"Apr 4, 2020, 12:09 AM","Well pleased they slack their course, and many a league "
224,Mickey Mouse,"Apr 4, 2020, 12:09 AM","As gods, and by their own recovered strength, "
225,William Shakespeare,"Apr 4, 2020, 12:08 AM","Now when fair morn orient in Heaven appeared, "
226,William Shakespeare,"Apr 4, 2020, 12:08 AM",Mind us of like repose; since God hath set 
227,Mickey Mouse,"Apr 4, 2020, 12:08 AM","Reserving, human left from human free. "
228,William Shakespeare,"Apr 4, 2020, 12:08 AM",'Longer thy offered good; why else set here? 
229,Mickey Mouse,"Apr 4, 2020, 12:08 AM",The great hierarchal standard was to move; 
230,William Shakespeare,"Apr 4, 2020, 12:08 AM","Not without song, each morning, and due praise, "
231,William Shakespeare,"Apr 4, 2020, 12:08 AM","Freely they stood who stood, and fell who fell. "
232,Mickey Mouse,"Apr 4, 2020, 12:07 AM",Cathaian coast.  The aggregated soil 
233,Mickey Mouse,"Apr 4, 2020, 12:07 AM","In serpent, inmate bad! and toward Eve "
234,Donald Duck,"Apr 4, 2020, 12:07 AM","Or from without, to all temptations armed. "
235,Donald Duck,"Apr 4, 2020, 12:07 AM","Him, whom to love is to obey, and keep "
236,William Shakespeare,"Apr 4, 2020, 12:07 AM",Bear on your wings and in your notes his praise. 
237,William Shakespeare,"Apr 4, 2020, 12:07 AM",But mortal doomed.  How can he exercise 
238,William Shakespeare,"Apr 4, 2020, 12:07 AM",Than such could have o'erpowered such force as ours) 
239,Mickey Mouse,"Apr 4, 2020, 12:04 AM","Assemble, and harangues are heard; but soon, "
240,Mickey Mouse,"Apr 4, 2020, 12:03 AM",Down he alights among the sportful herd 
241,Donald Duck,"Apr 4, 2020, 12:03 AM",Of seasons to each clime; else had the spring 
242,Donald Duck,"Apr 4, 2020, 12:03 AM","Forthwith a hideous gabble rises loud, "
243,William Shakespeare,"Apr 3, 2020, 11:59 PM",As deep as Capricorn; to bring in change 
244,Mickey Mouse,"Apr 3, 2020, 11:59 PM","For Man; for of his state by this they knew, "
245,Mickey Mouse,"Apr 3, 2020, 11:59 PM",But I was far deceived; for now I see 
246,William Shakespeare,"Apr 3, 2020, 11:59 PM",For neither Man nor Angel can discern 
247,William Shakespeare,"Apr 3, 2020, 11:59 PM","I saw thee first and wedded thee, adorned "
248,Mickey Mouse,"Apr 3, 2020, 11:48 PM",Were long to tell; how many battles fought 
249,Other,"Apr 3, 2020, 11:46 PM","Of four infernal rivers, that disgorge "
250,Mickey Mouse,"Apr 3, 2020, 11:46 PM","Fairest and easiest, of this cumbrous charge; "
251,Mickey Mouse,"Apr 3, 2020, 11:46 PM","And hairy mane terrifick, though to thee "
252,Other,"Apr 3, 2020, 11:45 PM","Hatching vain empires."" Thus beelzebub "
253,Other,"Apr 3, 2020, 11:45 PM","Watering the ground, and with their sighs the air "
254,Other,"Apr 2, 2020, 9:19 PM", 
255,Donald Duck,"Apr 2, 2020, 9:18 PM","And calculate the stars, how they will wield "
256,Donald Duck,"Apr 2, 2020, 9:18 PM","Their station; Heaven, yet populous, retains "
257,Mickey Mouse,"Apr 2, 2020, 9:13 PM","Hill, dale, and shady woods, and sunny plains, "
258,Other,"Apr 2, 2020, 4:12 AM",Such fatal consequence unites us three! 
259,Mickey Mouse,"Apr 1, 2020, 8:43 PM","The clasping ivy where to climb; while I, "
260,Donald Duck,"Apr 1, 2020, 8:42 PM",With horrid strides; Hell trembled as he strode. 
261,Donald Duck,"Apr 1, 2020, 8:42 PM","To evangelize the nations, then on all "
262,William Shakespeare,"Apr 1, 2020, 8:42 PM","Driven by a keen north-wind, that, blowing dry, "
263,William Shakespeare,"Apr 1, 2020, 8:42 PM","For who can yet believe, though after loss, "
264,William Shakespeare,"Apr 1, 2020, 8:42 PM","And vital virtue infused, and vital warmth "
265,Donald Duck,"Apr 1, 2020, 4:35 AM",Imagined lands and regions in the moon: 
266,Mickey Mouse,"Apr 1, 2020, 4:35 AM","Thoughts, which how found they harbour in thy breast, "
267,Mickey Mouse,"Apr 1, 2020, 4:35 AM",Their rising all at once was as the sound 
268,William Shakespeare,"Apr 1, 2020, 4:35 AM",Worse with his followers than with him they dealt? 
269,Donald Duck,"Apr 1, 2020, 4:34 AM",And guided by his voice; nor uninformed 
270,William Shakespeare,"Apr 1, 2020, 4:34 AM",Against his Maker; no decree of mine 
271,William Shakespeare,"Apr 1, 2020, 4:33 AM","Pansies, and violets, and asphodel, "
272,Mickey Mouse,"Apr 1, 2020, 4:25 AM",In this abhorred deep to utter woe! 
273,Mickey Mouse,"Mar 31, 2020, 3:11 AM","It sounded, and the faithful armies rung "
274,Other,"Mar 31, 2020, 3:10 AM","I see that most through sloth had rather serve, "
275,Mickey Mouse,"Mar 31, 2020, 3:10 AM","This evening from the sun's decline arrived, "
276,Donald Duck,"Mar 31, 2020, 3:09 AM","Adam, now ope thine eyes; and first behold "
277,Mickey Mouse,"Mar 31, 2020, 3:09 AM","With loathed intrusion, and fill all the land; "
278,Other,"Mar 31, 2020, 3:09 AM","A race of upstart creatures, to supply "
279,Mickey Mouse,"Mar 31, 2020, 3:09 AM",About him exercised heroick games 
280,Other,"Mar 31, 2020, 3:09 AM","So spake the Godlike Power, and thus our Sire. "
281,Mickey Mouse,"Mar 31, 2020, 1:31 AM","His adamantine coat gird well, and each "
282,Mickey Mouse,"Mar 31, 2020, 1:28 AM","Upheld by me, yet once more he shall stand "
283,Donald Duck,"Mar 31, 2020, 1:26 AM","What thinkest thou then of me, and this my state? "
284,Donald Duck,"Mar 31, 2020, 1:26 AM","Creator wise, that peopled highest Heaven "
285,Donald Duck,"Mar 31, 2020, 1:26 AM","Or Nature failed in me, and left some part "
286,Mickey Mouse,"Mar 31, 2020, 1:22 AM",Then with expanded wings he steers his flight 
287,Mickey Mouse,"Mar 31, 2020, 1:21 AM","Last, with one midnight stroke, all the first-born "
288,Mickey Mouse,"Mar 31, 2020, 1:21 AM","And knew not eating death:  Satiate at length, "
289,Mickey Mouse,"Mar 31, 2020, 1:21 AM","So smooths her charming tones, that God's own ear "
290,Mickey Mouse,"Mar 31, 2020, 1:21 AM","With unexperienced thought, and laid me down "
291,Mickey Mouse,"Mar 31, 2020, 1:21 AM","Had not the snaky Sorceress, that sat "
292,Mickey Mouse,"Mar 30, 2020, 2:27 PM","Again, God said,  Let there be firmament "
293,Mickey Mouse,"Mar 30, 2020, 2:26 PM","Of instruments, that made melodious chime, "
294,Other,"Mar 30, 2020, 5:49 AM","A Spirit, zealous, as he seemed, to know "
295,Other,"Mar 30, 2020, 5:46 AM","Wrought in her so, that, seeing me, she turned: "
296,Other,"Mar 30, 2020, 5:20 AM","So fit, so acceptable, so divine, "
297,Mickey Mouse,"Mar 30, 2020, 5:19 AM",He sat; and in the assembly next upstood 
298,William Shakespeare,"Mar 30, 2020, 5:19 AM","To what thou hast; and, for the air of youth, "
299,Mickey Mouse,"Mar 30, 2020, 5:17 AM","Vigour divine within them, can allow "
300,Mickey Mouse,"Mar 30, 2020, 5:16 AM",Leucothea waked; and with fresh dews imbalmed 
301,Other,"Mar 30, 2020, 5:13 AM","Her crystal mirrour holds, unite their streams. "
302,Other,"Mar 30, 2020, 5:13 AM","Descends, thither with heart, and voice, and eyes "
303,Mickey Mouse,"Mar 30, 2020, 5:11 AM",Or whom he wishes most shall seldom gain 
304,Mickey Mouse,"Mar 30, 2020, 5:11 AM",Before the Father's throne: them the glad Son 
305,Other,"Mar 30, 2020, 5:11 AM","Wild above rule or art, enormous bliss. "
306,William Shakespeare,"Mar 30, 2020, 5:11 AM","The Assessour of his throne, he thus began. "
